headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,paragraphs,str_count,body
村上春樹さん、ジャニーズに言及　「声上げる大事さを痛感」（共同通信）,https://news.yahoo.co.jp/articles/41ac7306a176223f717596600aaa5c1cc190f105,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231126-00000118-kyodonews-000-3-view.jpg?exp=10800,2023-11-26T21:29:57+09:00,2023-11-26T21:47:19+09:00,共同通信,kyodonews,共同通信,1,304,\n村上春樹さん\n作家の村上春樹さん（74）は26日放送のラジオ番組「村上RADIO」（TOKYO FMなど）で、「最近のジャニーズ問題の報道を見ていて、勇気を出して声を上げることの大事さを改めて痛感させられました」と旧ジャニーズ事務所の性加害問題に言及した。\n\n 村上さんは番組で、米国がベトナム戦争に本格参戦するきっかけになったとされる「トンキン湾事件」が起きた後、大統領に戦時権限を付与する議案に反対した議員が2人だけいたことを紹介。「しっかり声を上げる、空気なんて読まない、忖度もしない。そういう人たちの存在が、たとえ少数ではあっても僕らの社会には必要」と持論を述べた上で、性加害問題に触れた。
高知県知事に浜田氏が再選確実　3新人との争い制す（共同通信）,https://news.yahoo.co.jp/articles/0799d14bdeda59d6f145e40f63536ee5c2583ef4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231126-00000117-kyodonews-000-3-view.jpg?exp=10800,2023-11-26T21:21:19+09:00,2023-11-26T21:38:55+09:00,共同通信,kyodonews,共同通信,1,333,\n高知県知事選で再選を確実にし、支援者らと万歳する浜田省司氏（中央）＝26日夜、高知市\n任期満了に伴う高知県知事選は26日投開票の結果、無所属現職の浜田省司氏（60）＝自民、公明推薦＝が、共産党県委員米田稔氏（71）＝共産推薦＝ら無所属の3新人を破り、再選を確実にした。\n\n 当選確実の知らせを受けた浜田氏は、高知市内のホテルに集まった支援者に「4年間の実績に合格点を頂いた。2期目は人口減少の克服などでしっかりと結果を出していきたい」と述べた。\n\n 選挙戦では人口減対策の他、デジタル活用推進も主張。約80の業界団体から推薦を受け、論戦を終始優位に展開した。\n\n 米田氏は浜田氏を「国の立場の代弁に終始している」と批判、刷新を訴えたが及ばなかった。
国立公園の歩道5割、管理者不在　登山道荒廃、災害対応にも課題（共同通信）,https://news.yahoo.co.jp/articles/7e3e4962d2b7dd28401c9553473cc97d2b5f874e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231126-00000115-kyodonews-000-4-view.jpg?exp=10800,2023-11-26T21:00:27+09:00,2023-11-26T21:17:00+09:00,共同通信,kyodonews,共同通信,1,584,\n管理が不十分で荒廃が進んだ中部山岳国立公園の登山道＝2022年9月、富山市\n全国に34ある国立公園内の登山や散策に利用される歩道全1127路線のうち、整備や保全を担う管理者が設置されていない路線が50％の561に上ることが26日、環境省の調査で分かった。国立公園であるにもかかわらず、管理者不在で荒廃が進む登山道が各地にあることや、災害時に迅速な対応ができないなどの課題が浮き彫りとなった。全国規模の詳細な実態把握が行われたのは初。共同通信が情報公開請求し入手した内部報告書で明らかになった。\n\n 国立公園の登山道を巡ってはボランティア頼みの維持の常態化や、行政が現地の詳細な状況を把握しておらず適切な危険表示ができないといった問題が指摘されてきた。\n\n 国立公園の管理は国が自然公園法に基づき、自治体や民間と連携して行う。公園内の歩道の保全や修復を担う「事業執行者」と呼ばれる管理者には自治体や環境省がなる場合が多いが、民間事業者が指定されたり、人が繰り返し歩くうちに自然にできた道で不在となったりするケースもある。\n環境省が国立公園内の登山道や遊歩道計1127路線を調査し、まとめた内部報告書のコピー。整備や保全を担う管理者が設置されていない路線が50％の561に上ることが分かった\n環境省は昨夏に実態把握に乗り出し、今年3月に報告書をまとめた。
「声上げる大事さを痛感」と村上春樹さん（共同通信）,https://news.yahoo.co.jp/articles/4c3a6f5454c4efeb72bff1a73beb95bc502ec003,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2023-11-26T21:20:52+09:00,2023-11-26T21:36:54+09:00,共同通信,kyodonews,共同通信,1,109,\n作家の村上春樹さん（74）は26日放送のラジオ番組「村上RADIO」で、「最近のジャニーズ問題の報道を見ていて、勇気を出して声を上げることの大事さを改めて痛感させられた」と旧ジャニーズ事務所の性加害問題に言及した。
被害告白の橋田さん、合意の意向　旧ジャニーズ問題の補償（共同通信）,https://news.yahoo.co.jp/articles/7d47182c4fb85d6955c89296834af9df9eb3cb3c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231126-00000114-kyodonews-000-36-view.jpg?exp=10800,2023-11-26T21:00:10+09:00,2023-11-27T08:37:04+09:00,共同通信,kyodonews,共同通信,1,472,\n取材に応じる橋田康さん\n旧ジャニーズ事務所創業者のジャニー喜多川元社長（2019年死去）の性加害問題で、被害を告白していたダンサーで俳優の橋田康さん（38）は26日、共同通信の取材に応じ、同事務所が設けた被害者救済委員会から補償案を提示され、今後合意する考えを示した。早ければ月内に合意が成立する。\n元ジャニーズが被害を相談 「中傷、心の殺人になり得る」\n橋田さんは補償金額を明らかにしていないが「金額にこだわりはなかった」とし、補償が今後進んでも「この問題を風化させることなく、被害を受けたら誰でも安心して声を上げられる社会にしていきたい」と語った。\n\n その上で被害を告白した人が誹謗中傷を受けている現状に触れ、旧ジャニーズ事務所から社名変更した「SMILE―UP.（スマイルアップ）」に対し「（手続きの進行などの）現状を丁寧に説明していないことで臆測が広がり、誹謗中傷につながっている」と指摘。「きちんとした説明を重ね、さまざまな人が納得する状況をつくることが誠実な対応に結びつくと思う。閉鎖的にならないでほしい」と話した。
日大学長と副学長辞任へ　混乱回避意向、アメフト薬物問題（共同通信）,https://news.yahoo.co.jp/articles/308be1197a787c7a5197aa6d067b77c36bfd2098,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231126-00000108-kyodonews-000-21-view.jpg?exp=10800,2023-11-26T19:32:01+09:00,2023-11-26T21:08:14+09:00,共同通信,kyodonews,共同通信,1,520,\n1\n/\n2\n日本大の酒井健夫学長\n日本大の沢田康広副学長\nアメリカンフットボール部の薬物事件に関連し、日本大の酒井健夫学長と沢田康広副学長が理事会側からの辞任勧告を受け入れる方向で調整していることが26日、関係者への取材で分かった。2人は引責辞任に納得していないが、学内の混乱を避けたい意向があるという。林真理子理事長を減給50％とする処分案とともに、27日以降に学内の協議が進むとみられる。\n名門の日大相撲部ＯＢ、“指導”と称した異常な暴力 上下関係がエスカレート「熱したスプーンを腹に押しつけられた」\n薬物事件を調べた第三者委員会の報告書は、沢田副学長が7月に寮で大麻のような不審物を発見してから警視庁に報告するまでの「空白の12日間」が「（大学の）信用を失墜させた最大の原因」と指摘。酒井学長は早い段階で報告を受けたのに問題視せず、林理事長への報告も遅れた。\n\n 関係者によると、22日の理事会で酒井学長ら2人に辞任を要求する方針がまとまった。林理事長は減給を受け入れる意向を示した。27日が辞任勧告への回答期限という。\n\n 薬物事件を巡っては、文部科学省が改善計画を今月中に提出するよう日大に要請している。
日大の学長と副学長が辞任勧告受け入れへ（共同通信）,https://news.yahoo.co.jp/articles/10c139ee77220183a81d21fba67d0d58d81a699a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2023-11-26T19:48:58+09:00,2023-11-26T19:57:23+09:00,共同通信,kyodonews,共同通信,1,110,\nアメリカンフットボール部の薬物事件に関連し、日本大の酒井健夫学長と沢田康広副学長が理事会側からの辞任勧告を受け入れる方向で調整していることが26日、関係者への取材で分かった。学内の混乱を避けたいとの意向があるという。
キャンドルともし、ガザ停戦訴え　広島、原爆ドームで集会（共同通信）,https://news.yahoo.co.jp/articles/9e8334e5a91721f36391a4faa5e5cfc5fe2d26a2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231126-00000113-kyodonews-000-3-view.jpg?exp=10800,2023-11-26T20:18:36+09:00,2023-11-26T20:34:52+09:00,共同通信,kyodonews,共同通信,1,299,\nイスラエルによるパレスチナ自治区ガザへの攻撃停止を求める集会で、原爆ドーム前に並べられたキャンドル＝26日夕、広島市\n広島市の原爆ドーム前で26日、イスラエルによるパレスチナ自治区ガザへの攻撃停止を求める集会が開かれた。キャンドルを並べて文字を描き、集まった市民ら約100人が「ジェノサイド（民族大量虐殺）を止めよう」と訴えた。\n\n 主催した市民団体「核兵器廃絶をめざすヒロシマの会」の森滝春子顧問（84）は「悲惨な状況が人間によって引き起こされており、決して許してはならない」と強調。「殺されていく子供を一人でも守る責任がある。力を合わせて声を上げなければならない」と連帯を呼びかけた。
藤井竜王3連覇、琴平町で祝賀会　幻の第5局予定地（共同通信）,https://news.yahoo.co.jp/articles/f6ac603b5ebea1df37519e9e0e0379114d355ee9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231126-00000112-kyodonews-000-3-view.jpg?exp=10800,2023-11-26T20:02:54+09:00,2023-11-26T20:18:55+09:00,共同通信,kyodonews,共同通信,1,319,\n祝賀会であいさつする藤井聡太竜王＝26日午後、香川県琴平町\n将棋の八大タイトルを独占する藤井聡太竜王が第36期竜王戦を制し、3連覇を果たしたことを祝う会が26日、香川県琴平町の旅館「ことひら温泉 琴参閣」で開かれた。藤井竜王は「4戦の内容をしっかり振り返り、成長につなげたい」とあいさつした。\n\n 琴参閣では7番勝負の第5局を開催予定だったが、藤井竜王の開幕4連勝で幻に。対局を心待ちにしていた将棋ファンら約250人が集まり、勝利をたたえた。\n\n 地元の将棋クラブの子らから花束を贈られると笑みがこぼれた藤井竜王。あいさつでは「うどん県」で知られる香川県の特産品に触れ、「機会があればうどん巡りをしたい」と笑いを取っていた。
体操杉原が五輪挑戦表明　代表入りなら3大会連続（共同通信）,https://news.yahoo.co.jp/articles/38016c36e54ad0cedb064e0b77fa967b6f7225bf,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231126-00000109-kyodonews-000-3-view.jpg?exp=10800,2023-11-26T19:44:42+09:00,2023-11-26T20:00:52+09:00,共同通信,kyodonews,共同通信,1,213,\n杉原愛子\n体操女子で2016年リオデジャネイロ、21年東京両五輪に出場し、一度は第一線から退いた杉原愛子（24）＝武庫川女大＝が26日、自身の交流サイト（SNS）で来夏のパリ五輪を目指すと表明した。6月の全日本種目別選手権で約1年ぶりに実戦復帰し、床運動で優勝。「五輪に向けて、もう一度チャレンジしたい」と動画でコメントした。\n\n 大阪府出身。リオ五輪で日本の48年ぶりの団体総合4位、東京五輪では同5位に貢献した。
3校同率V、全日本は関学　関西学生アメフト（共同通信）,https://news.yahoo.co.jp/articles/351edbf5243e12d7bf372ba300b168300a5936fb,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231126-00000110-kyodonews-000-4-view.jpg?exp=10800,2023-11-26T19:45:32+09:00,2023-11-26T21:33:47+09:00,共同通信,kyodonews,共同通信,1,344,\n3校による抽選で、結果を見せる関学大の海崎主将（中央）。関西代表として全日本大学選手権の準決勝進出を決めた＝万博記念競技場\nアメリカンフットボールの関西学生リーグ最終日は26日、大阪府の万博記念競技場で行われ、関大が関学大を16―13で破った。関学大、関大、立命大が6勝1敗で並び同率優勝となった。関大は13年ぶり7度目、立命大は4年ぶり13度目、関学大は3年連続60度目の優勝。\n\n 3校による抽選の結果、関学大が関西代表として全日本大学選手権の準決勝に進出。12月3日に福岡県で同決勝「甲子園ボウル」出場を懸けて九大（九州）と対戦する。\n\n 関大は0―6で迎えた第3クオーターにQB須田がTDパスを2度通して逆転。第4クオーターに追いつかれたが、FGを決めて勝ち越した。
体操、男子は徳洲会が2連覇　全日本団体選手権（共同通信）,https://news.yahoo.co.jp/articles/23f5f0b7e6ea21254590f235108609e730e8cd51,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231126-00000107-kyodonews-000-3-view.jpg?exp=10800,2023-11-26T19:26:35+09:00,2023-11-26T19:42:54+09:00,共同通信,kyodonews,共同通信,1,288,\n男子で2連覇を果たし、写真に納まる北園丈琉（左から3人目）ら徳洲会の選手たち＝四日市市総合体育館\n体操の全日本団体選手権は26日、三重県の四日市市総合体育館で行われ、男子は徳洲会が6種目合計259.629点をマークし、大会2連覇を果たした。女子は鯖江高（福井）が4種目合計158.796点で制した。\n\n 男子の徳洲会は東京五輪団体総合銀メダルメンバー、北園丈琉らが安定した演技をそろえた。今秋の世界選手権で個人総合を2連覇した橋本大輝を擁する順大が254.262点で2位、セントラルスポーツが3位。\n\n 女子は筑波大が158.464点で2位、日体大が3位だった。
熱海富士の地元静岡でPV　ファンら、拍手でたたえる（共同通信）,https://news.yahoo.co.jp/articles/dffcb28ab2ae27552bb1f6d51664ac58e1fa0832,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231126-00000105-kyodonews-000-3-view.jpg?exp=10800,2023-11-26T19:11:26+09:00,2023-11-26T19:28:55+09:00,共同通信,kyodonews,共同通信,1,362,\n1\n/\n2\n琴ノ若に引き落としで敗れた熱海富士＝福岡国際センター\n大相撲の熱海富士の地元、静岡県熱海市のPVに詰めかけたファンら＝26日午後\n大相撲九州場所で優勝を争った平幕熱海富士の地元、静岡県熱海市では26日、パブリックビューイング（PV）が開かれ、ファンや後援会関係者ら約120人が千秋楽の土俵を見守った。関脇琴ノ若に敗れ、初優勝は逃したが、集まった人たちは惜しみない拍手を送り、健闘をたたえた。\n\n ファンらはスティックバルーンや手作りのうちわを手に「熱海富士」コールで応援。負けが決まった瞬間「ああー」と大きな悲鳴が上がった。\n\n 千葉県白井市から訪れた祖母の武井みさ子さん（73）は「皆さんの応援が大きくて感動した。重圧に負けずにやっている姿に涙が出た。ご苦労さまと言いたい」とねぎらった。
霧島が2度目V、熱海富士は4敗　琴ノ若が敢闘賞、一山本も初受賞（共同通信）,https://news.yahoo.co.jp/articles/0cb85e9c7459674544875e6867acab6e52cb1a35,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2023-11-26T19:14:03+09:00,2023-11-26T19:30:52+09:00,共同通信,kyodonews,共同通信,1,260,\n大相撲九州場所千秋楽（26日・福岡国際センター）大関霧島は大関貴景勝を突き落とし、13勝2敗で4場所ぶり2度目の優勝を果たした。ただ一人1差で追っていた平幕熱海富士が関脇琴ノ若に敗れて4敗目を喫し、取組前に優勝が決まった。貴景勝は9勝6敗。琴ノ若は11勝目を挙げた。\n\n 大関豊昇龍は関脇大栄翔を寄り切って10勝5敗。大栄翔は6敗目を喫し、関脇若元春は6勝9敗で終えた。\n\n 熱海富士が2度目、琴ノ若が5度目の敢闘賞。再入幕で11勝4敗の一山本は初の三賞となる敢闘賞受賞。殊勲賞と技能賞は該当者がいなかった。
茨城で鳥インフル疑い　7万2千羽飼育の養鶏場（共同通信）,https://news.yahoo.co.jp/articles/115c9e502c6181c33295f8a7ad52c14dc6c2b5bd,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2023-11-26T18:46:32+09:00,2023-11-26T19:02:59+09:00,共同通信,kyodonews,共同通信,1,191,\n茨城県は26日、笠間市の養鶏場で高病原性鳥インフルエンザの疑いがある事例が発生したと発表した。遺伝子検査で陽性と確定すれば、飼育する採卵鶏約7万2千羽を殺処分する。\n\n 県によると、同日午前に養鶏場から、高病原性鳥インフルエンザを疑う症状が認められると通報があり、簡易検査した13羽のうち11羽が陽性だった。高病原性が確認された場合、養鶏場での発生は全国で今季2例目となる。
シダマツ、奈良岡がV　バドミントン、中国マスターズ（共同通信）,https://news.yahoo.co.jp/articles/11c3f8063136423e14430fb9a93eb32cd439ede7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231126-00000103-kyodonews-000-3-view.jpg?exp=10800,2023-11-26T18:59:53+09:00,2023-11-26T21:12:35+09:00,共同通信,kyodonews,共同通信,1,217,\nバドミントンの中国マスターズ、女子ダブルス決勝で福島由紀、広田彩花組と対戦する志田千陽（中央）松山奈未（右）組＝26日、深セン（ゲッティ＝共同）\nバドミントンの中国マスターズは26日、深センで各種目の決勝が行われ、女子ダブルスで志田千陽、松山奈未組（再春館製薬所）が福島由紀、広田彩花組（丸杉）を2―0で破って優勝した。男子シングルスは奈良岡功大（FWDグループ）が西本拳太（ジェイテクト）を2―0で下して頂点に立った。（共同）
ハマス、第2弾人質17人解放　相互不信で遅れも、戦闘休止継続（共同通信）,https://news.yahoo.co.jp/articles/b3022642a202a0d9eb9a67c566cf3e487ddd4a10,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231126-00000099-kyodonews-000-4-view.jpg?exp=10800,2023-11-26T18:44:55+09:00,2023-11-26T19:00:52+09:00,共同通信,kyodonews,共同通信,1,424,\n1\n/\n2\nガザ地区でイスラム組織ハマスから赤十字国際委員会に引き渡される人質。26日に公開された動画から（ハマス軍事部門提供・ロイター＝共同）\n26日、イスラエル当局に釈放されたパレスチナ人ら＝ヨルダン川西岸ラマラ郊外（ロイター＝共同）\n【エルサレム共同】イスラエル軍は25日深夜、イスラム組織ハマスがパレスチナ自治区ガザで拘束する人質のうち、イスラエル人13人とタイ人4人の計17人が解放されたと明らかにした。24日に続く第2弾の解放。イスラエル政府は26日、第3弾の解放となる人質のリストを受け取った。\n\n ハマスは第2弾解放に先立ち、ガザへの支援物資搬入などを巡りイスラエルが合意を守っていないと主張。解放は数時間遅れ、相互不信の強さが改めて浮き彫りとなった。26日で3日目となったガザでの戦闘休止は持続しているもようだ。\n\n イスラエル首相府によると、第2弾で解放されたイスラエル人13人は3～67歳の女性と子ども。
日中韓首脳会談の年内開催断念（共同通信）,https://news.yahoo.co.jp/articles/da8f974bc48536e58f793adc806831b51343a9c4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2023-11-26T18:54:31+09:00,2023-11-26T19:10:52+09:00,共同通信,kyodonews,共同通信,1,88,\n【釜山共同】韓国南部釜山で26日に開かれた日中韓外相会談で、議長国の韓国が3カ国の首脳会談の12月開催に言及せず、事実上断念したことが分かった。複数の外交筋が明らかにした。
「カスハラ」経験64.5％　民間調査、土下座強要も（共同通信）,https://news.yahoo.co.jp/articles/6eb0899f31c6bfafaa069670098ce8324ece6d7f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231126-00000100-kyodonews-000-3-view.jpg?exp=10800,2023-11-26T18:46:03+09:00,2023-11-26T19:17:37+09:00,共同通信,kyodonews,共同通信,1,325,\n直近1年間にカスハラを受けた経験\n顧客からの嫌がらせや迷惑行為「カスタマーハラスメント（カスハラ）」を直近1年間に受けた人は64.5％に上るとの調査結果を危機管理コンサルティング業「エス・ピー・ネットワーク」が26日までに発表した。土下座強要や長時間の居座りなどを経験した人もいた。\n\n 同社は「従業員を守れないと、人材確保に大きな影響を及ぼす」と指摘している。\n\n 調査は7月にネット上で実施。卸売・小売業と交通インフラ業の回答者の半数以上は「執拗な言動」「威圧的な言動」をそれぞれ経験していた。\n\n 自由記述では「土下座を強要」（サービス業）、「2時間近く居座り」（製造業）、「3時間以上の拘束」（金融・保険業）などが挙がった。
都道府県対抗eスポ、東京が優勝　「パズドラ」など6種目8部門（共同通信）,https://news.yahoo.co.jp/articles/4bb8c1c6c385c13cec670db934f777c8fc581a36,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231126-00000104-kyodonews-000-4-view.jpg?exp=10800,2023-11-26T19:03:06+09:00,2023-11-26T19:54:16+09:00,共同通信,kyodonews,共同通信,1,332,\n鹿児島市で開かれた「全国都道府県対抗eスポーツ選手権」＝26日午後\nコンピューターゲームの腕前を競う「全国都道府県対抗eスポーツ選手権」が25、26日、「かごしま国体」の文化プログラムとして鹿児島市内で開かれた。2日間でパズルゲーム「パズドラ」など計6種目8部門を実施。ゲームの成績に応じたポイントで順位を競った。総合優勝は東京都で、準優勝は神奈川県、3位は北海道だった。\n\n 「ぷよぷよeスポーツ」小学生の部で優勝した小2のゆうき選手（東京）は「すごく良いプレーができたのでうれしかった」と話した。\n\n 選手権は2019年にスタートし、5回目。予選には日本全国から約7万人が参加し、2日間の今大会には代表選手86人が出場した。来年の開催地は佐賀県。
茨城の養鶏場で鳥インフル疑い（共同通信）,https://news.yahoo.co.jp/articles/0e4ea4f337e91f90d510f8b7ee088df4786fc4f7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2023-11-26T18:32:26+09:00,2023-11-26T19:28:14+09:00,共同通信,kyodonews,共同通信,1,84,\n茨城県は26日、笠間市の養鶏場で、高病原性鳥インフルエンザが疑われる事例が発生したと発表した。遺伝子検査で陽性と確定すれば、飼育する採卵鶏約7万2千羽を殺処分する。
